month,coverage,quantile_loss_kwh,point_pinball_same_tau_kwh,point_net_mae_kwh,risk_net_absolute_error_kwh,net_underforecast_kwh,policy,grouping,tau,n_intervals,hour
2025-06,0.7865740740740741,25.56900964750941,35.22870750557983,61.98676763423336,89.1571288714175,12.89597312204319,PE,month,0.8,4320,
2025-07,0.7849462365591398,22.550793358678558,29.79658686546522,57.7959604931288,80.63053910373972,10.707809229884363,PE,month,0.8,4464,
2025-08,0.7538082437275986,18.65163292646552,27.94300129181352,56.78082337537045,64.92082132424311,9.445781102694832,PE,month,0.8,4464,
2025-09,0.749537037037037,18.545862381564966,34.380561969992115,62.22925875564083,66.88107001548501,8.616080630779946,PE,month,0.8,4320,
2025-10,0.8393817204301075,14.059429044261378,27.651599739589983,47.7350336202602,57.997566701591516,4.099859506571796,PE,month,0.8,4464,
2025-11,0.830324074074074,11.107438514413962,23.72471816278397,38.47704944554096,44.96226979178642,3.5249742600944676,PE,month,0.8,4320,
2025-12,0.821236559139785,15.282019262949346,23.579930947510157,42.17464656728942,59.35362207530504,5.685491413147234,PE,month,0.8,4464,
,0.7939121756487026,11.39176970545966,15.602429012065306,29.86873335402126,41.367697597127,5.197050310057104,PE,hour,0.8,2004,0.0
,0.7959081836327345,11.189718506514483,15.907021534124208,30.180772638354192,41.07396814352091,4.958208129683834,PE,hour,0.8,2004,1.0
,0.7984031936127745,10.956571177781468,15.285423637404982,29.074072573847662,40.29687642123131,4.828659822558678,PE,hour,0.8,2004,2.0
,0.7919161676646707,10.754830757297073,14.161517737357872,27.883470163305176,39.037380873395925,4.9122576376964835,PE,hour,0.8,2004,3.0
,0.7949101796407185,11.363843727973157,15.774406906253338,29.430327057740737,41.34320334629012,5.1586717645252245,PE,hour,0.8,2004,4.0
,0.7849301397205589,12.503887399955184,32.7203595165499,45.927774393197794,44.800539857021555,5.906299047584791,PE,hour,0.8,2004,5.0
,0.7859281437125748,12.139411301955413,37.63941824726455,52.6415047140149,45.8086714953102,4.962795004822293,PE,hour,0.8,2004,6.0
