hour,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,grid_plan_kwh,unused_grid_kwh,policy
18,1231247.7227765145,9168.09416897554,1240415.81694549,1385.0297732879683,976525.1481176006,6156.597564540234,D28
19,186078.00572960346,128515.55923385968,314593.56496346317,19066.245015775698,138029.85178605074,0.0,D28
20,679055.7978571374,402770.6093167458,1081826.4071738832,59726.484543353,600142.4469399892,0.0,D28
21,1190319.9738020357,42311.86500789108,1232631.8388099268,9391.676794868708,1420314.4945336548,0.0,D28
22,520171.73914949637,2666.266660144604,522838.005809641,1262.4280563278078,1246805.1118371633,0.0,D28
23,512929.70355191414,6486.733622638738,519416.4371745528,3049.1106326097765,1207157.7957007054,0.0,D28
0,928050.134855407,3127.593213569728,931177.7280689768,1465.5400590156926,2176139.918951047,257.5898080504621,D112
1,697748.1202784022,4206.2192544034115,701954.3395328056,1952.6728672352237,1620536.983662714,39.383774481063256,D112
2,630756.5058217014,2956.832608976859,633713.3384306782,1363.549319954582,1455449.069848003,2535.0600124651464,D112
3,577998.8579905223,1108.07440699591,579106.9323975182,507.332082439438,1324075.455814674,7638.389160264636,D112
4,579828.2892722451,937.3004645370484,580765.5897367821,427.2378767103616,1319613.4177579915,19800.122559648087,D112
5,608718.886215588,31.995040039353114,608750.8812556273,7.032649750379846,1382642.051240245,124751.91167142737,D112
6,260554.51218479985,8557.354075840543,269111.8662606404,2032.854439552359,303819.9583758307,0.0,D112
7,357393.3175847424,13616.101162795761,371009.4187475382,3358.4223443601513,465086.489047645,7479.630144603817,D112
8,6652.319152950291,39016.325118821864,45668.64427177216,7351.396045187534,5885.075469529807,0.0,D112
9,31826.540011577225,89905.9345800735,121732.47459165072,18324.595328297484,33260.48486250241,0.0,D112
10,78160.90156278048,44503.741826559926,122664.6433893404,9354.519158490084,133671.39900332756,4078.0069399823096,D112
11,384285.6251592386,704.3366537247807,384989.96181296336,291.41663219072905,815206.2095118305,64737.037972958125,D112
12,307301.2760297159,0.0,307301.2760297159,0.0,678578.5727362182,236041.21385744895,D112
13,35998.83341225584,0.0,35998.83341225584,0.0,41638.31749579527,10588.151892848546,D112
14,96175.03048707043,0.0,96175.03048707043,0.0,143569.36956962483,11995.1381393789,D112
15,596343.34520695,0.0,596343.34520695,0.0,808112.3035792874,133229.9843251603,D112
16,1018744.8519086872,3346.686994053456,1022091.5389027406,744.2997924135399,1146442.7754218953,61515.63553474285,D112
17,1493756.1166557516,1810.660367572258,1495566.7770233238,351.53500564396415,1461724.2766324054,43648.645426469964,D112
18,1248978.3011038476,8513.58283377543,1257491.883937623,1290.9645853390352,990043.8034386346,5143.642838759318,D112
19,195604.55013873792,142084.54678413595,337689.09692287387,21078.9688822733,145137.11072654242,0.0,D112
20,697697.5491440974,413108.7354881085,1110806.2846322057,61296.75543419668,613088.9963651517,0.0,D112
21,1186045.5612046625,50623.92480898017,1236669.4860136427,11268.280314813299,1418424.6329250673,0.0,D112
22,546525.9329856742,1355.9921965105962,547881.9251821848,642.5877932077725,1316735.2883112498,0.0,D112
23,510091.6696719655,9139.515949337934,519231.1856213034,4297.769242879742,1200468.377543285,0.0,D112
0,970713.4923115124,1781.76208536792,972495.2543968803,835.0619784345503,2276212.244588692,1844.3965657807744,D56_risk625
1,708612.445178487,1692.4920978617586,710304.9372763488,785.5732452569409,1645910.6109638945,411.1603616954683,D56_risk625
2,623127.7967408627,835.5215886304262,623963.318329493,385.7285571962831,1437938.1952652526,3694.9390327211995,D56_risk625
3,566823.6737602425,137.50415842192143,566961.1779186644,62.8734149162878,1298478.4713768086,14233.658376899235,D56_risk625
