policy,date,issue_hour,horizon_intervals,milp_objective_yuan,lp_lower_bound_yuan,milp_minus_lp_yuan,lp_max_primal_violation,runtime_seconds,passed
fixed_w56,2025-12-21,6,108,46133.42176453029,46133.42176453028,1.4551915228366852e-11,1.8189894035458565e-12,0.0045771669974783435,True
fixed_w56,2025-12-21,12,72,35679.027956041464,35679.02795604147,-7.275957614183426e-12,9.094947017729282e-13,0.0031889170059002936,True
fixed_w56,2025-12-21,18,36,14452.529919580016,14452.529919580016,0.0,9.094947017729282e-13,0.002144458005204797,True
efficiency_raw,2025-04-01,0,144,38865.380707349934,38865.380707349934,0.0,9.094947017729282e-13,0.005045916994276922,True
efficiency_raw,2025-04-01,6,108,28691.665685599954,28691.66568559996,-7.275957614183426e-12,1.8189894035458565e-12,0.0050277499976800755,True
efficiency_raw,2025-04-01,12,72,24177.149205950616,24177.149205950624,-7.275957614183426e-12,1.8189894035458565e-12,0.0033419169994886033,True
efficiency_raw,2025-04-01,18,36,15183.009576012659,15183.009576012659,0.0,9.094947017729282e-13,0.0018865410020225681,True
efficiency_raw,2025-06-21,0,144,18845.477753263986,18845.47775326399,-3.637978807091713e-12,9.094947017729282e-13,0.0042900420012301765,True
efficiency_raw,2025-06-21,6,108,14036.17760755556,14036.177607555559,1.8189894035458565e-12,4.547473508864641e-13,0.00424270800431259,True
efficiency_raw,2025-06-21,12,72,14038.561422383122,14038.561422383118,3.637978807091713e-12,1.8189894035458565e-12,0.003063500000280328,True
efficiency_raw,2025-06-21,18,36,10978.50202344555,10978.50202344555,0.0,9.094947017729282e-13,0.0018832920031854883,True
efficiency_raw,2025-09-23,0,144,39649.221630518616,39649.221630518616,0.0,1.8189894035458565e-12,0.004453124995052349,True
efficiency_raw,2025-09-23,6,108,28044.895713908245,28044.895713908245,0.0,1.8189894035458565e-12,0.004596417005814146,True
efficiency_raw,2025-09-23,12,72,26401.07973117287,26401.07973117287,0.0,1.8189894035458565e-12,0.0031451250033569522,True
efficiency_raw,2025-09-23,18,36,17989.68842678151,17989.688426781515,-3.637978807091713e-12,4.547473508864641e-13,0.0018436669997754507,True
efficiency_raw,2025-12-21,0,144,58092.96157827295,58092.96157827295,0.0,2.2737367544323206e-13,0.004497499998251442,True
efficiency_raw,2025-12-21,6,108,45454.47479097703,45454.47479097702,7.275957614183426e-12,4.547473508864641e-13,0.004637666999769863,True
efficiency_raw,2025-12-21,12,72,33886.90248530232,33886.902485302315,7.275957614183426e-12,9.094947017729282e-13,0.0030808329975116067,True
efficiency_raw,2025-12-21,18,36,14164.619529286758,14164.619529286754,3.637978807091713e-12,2.2737367544323206e-13,0.0018492500021238811,True
efficiency_w28,2025-04-01,0,144,37468.18365066688,37468.18365066686,1.4551915228366852e-11,9.094947017729282e-13,0.0051265000001876615,True
efficiency_w28,2025-04-01,6,108,29036.326220043826,29036.326220043826,0.0,1.8189894035458565e-12,0.004724957994767465,True
efficiency_w28,2025-04-01,12,72,25041.899314424198,25041.899314424205,-7.275957614183426e-12,1.8189894035458565e-12,0.003350958002556581,True
efficiency_w28,2025-04-01,18,36,14486.43148709145,14486.431487091448,1.8189894035458565e-12,1.8189894035458565e-12,0.00185116699867649,True
efficiency_w28,2025-06-21,0,144,18517.43848992526,18517.43848992525,7.275957614183426e-12,1.8189894035458565e-12,0.004626916997949593,True
efficiency_w28,2025-06-21,6,108,15186.323852896518,15186.323852896516,1.8189894035458565e-12,9.094947017729282e-13,0.004087375004019123,True
efficiency_w28,2025-06-21,12,72,15457.637164044347,15457.637164044343,3.637978807091713e-12,4.547473508864641e-13,0.003431083998293616,True
efficiency_w28,2025-06-21,18,36,12356.786546036908,12356.78654603691,-1.8189894035458565e-12,4.547473508864641e-13,0.0019757080008275807,True
efficiency_w28,2025-09-23,0,144,39417.862873541395,39417.86287354139,7.275957614183426e-12,1.8189894035458565e-12,0.004714416005299427,True
efficiency_w28,2025-09-23,6,108,27732.042192222987,27732.042192222983,3.637978807091713e-12,1.8189894035458565e-12,0.005132332997163758,True
efficiency_w28,2025-09-23,12,72,26695.149437395987,26695.149437395983,3.637978807091713e-12,1.8189894035458565e-12,0.0033291660001850687,True
efficiency_w28,2025-09-23,18,36,16952.187786866893,16952.18778686689,3.637978807091713e-12,2.2737367544323206e-13,0.0020298329982324503,True
efficiency_w28,2025-12-21,0,144,57863.130654696724,57863.13065469672,7.275957614183426e-12,2.2737367544323206e-13,0.004497791000176221,True
efficiency_w28,2025-12-21,6,108,44902.18877014561,44902.1887701456,7.275957614183426e-12,5.115907697472721e-13,0.004636041994672269,True
efficiency_w28,2025-12-21,12,72,34423.05633035777,34423.05633035777,0.0,1.3642420526593924e-12,0.0032437090048915707,True
efficiency_w28,2025-12-21,18,36,13905.319895747516,13905.319895747514,1.8189894035458565e-12,5.115907697472721e-13,0.0019456660011201166,True
soft_raw,2025-04-01,0,144,40455.5805267657,40455.5805267657,0.0,4.547473508864641e-13,0.006035750004230067,True
soft_raw,2025-04-01,6,108,29834.021484905614,29834.021484905625,-1.0913936421275139e-11,4.547473508864641e-13,0.005861416997504421,True
soft_raw,2025-04-01,12,72,24955.466147463485,24955.4661474635,-1.4551915228366852e-11,6.821210263296962e-13,0.003952209000999574,True
soft_raw,2025-04-01,18,36,15879.371138777591,15879.371138777595,-3.637978807091713e-12,2.2737367544323206e-13,0.002179957999032922,True
soft_raw,2025-06-21,0,144,19761.84242890936,19761.842428909367,-7.275957614183426e-12,4.547473508864641e-13,0.005659334005031269,True
soft_raw,2025-06-21,6,108,14708.176194224185,14708.176194224183,1.8189894035458565e-12,9.094947017729282e-13,0.004943125000863802,True
soft_raw,2025-06-21,12,72,14710.617713515294,14710.617713515294,0.0,9.094947017729282e-13,0.0036925420063198544,True
soft_raw,2025-06-21,18,36,11650.214333567303,11650.214333567303,0.0,9.094947017729282e-13,0.00208283300162293,True
soft_raw,2025-09-23,0,144,41134.92318212987,41134.92318212987,0.0,1.1368683772161603e-13,0.005411332997027785,True
soft_raw,2025-09-23,6,108,29461.730939309855,29461.730939309855,0.0,4.547473508864641e-13,0.005301166995195672,True
soft_raw,2025-09-23,12,72,27185.68662417088,27185.68662417088,0.0,1.7053025658242404e-13,0.003823458006081637,True
