comparison_id,comparison_label,date,total_cost_yuan_raw,contract_cost_yuan_raw,emergency_cost_yuan_raw,emergency_kwh_raw,energy_start_actual_kwh_raw,energy_end_actual_kwh_raw,total_cost_yuan_corrected,contract_cost_yuan_corrected,emergency_cost_yuan_corrected,emergency_kwh_corrected,energy_start_actual_kwh_corrected,energy_end_actual_kwh_corrected,raw_policy,corrected_policy,cash_gain_yuan,contract_cost_gain_yuan,emergency_cost_gain_yuan,emergency_energy_reduction_kwh,inventory_adjusted_daily_gain_yuan,cumulative_cash_gain_yuan,cumulative_inventory_adjusted_gain_yuan,day_result,month,is_main_evaluation
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-04-30,34482.07435671691,32019.387119851745,2462.68723686517,392.6257525333424,6314.999272363793,6273.8297498061165,33003.40552855609,31681.04931898071,1322.3562095753775,229.1608690342323,6405.116904668263,6363.947382110587,fixed_raw,fixed_w28,1478.6688281608222,338.33780087103514,1140.3310272897922,163.4648834991101,1478.6688281608228,9524.859174784993,9587.002266375428,corrected_lower_cost,2025-04,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-01,46158.352007331516,34517.8631281829,11640.488879148616,1814.3803230384524,6273.8297498061165,5464.132387792692,45307.208117920665,34851.55040845892,10455.65770946175,1638.706637859882,6363.947382110587,5554.250020097162,fixed_raw,fixed_w28,851.1438894108505,-333.687280276019,1184.831169686866,175.6736851785704,851.1438894108505,10376.003064195844,10438.146155786279,corrected_lower_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-02,23375.357584354977,14296.454509978976,9078.903074376001,1513.1034899760505,5464.132387792692,4753.759404869003,22322.900028735203,14415.940819118065,7906.959209617137,1342.4482443411293,5554.250020097162,4843.877037173474,fixed_raw,fixed_w28,1052.4575556197742,-119.48630913908892,1171.943864758864,170.65524563492113,1052.4575556197742,11428.460619815618,11490.603711406053,corrected_lower_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-03,23907.761055090337,13197.842679802758,10709.918375287578,1792.449850843538,4753.759404869003,4375.36815759635,22700.025640070635,13369.447165371317,9330.578474699318,1610.3755425102026,4843.877037173474,4465.48578990082,fixed_raw,fixed_w28,1207.7354150197025,-171.60448556855954,1379.3399005882602,182.07430833333524,1207.7354150197025,12636.19603483532,12698.339126425755,corrected_lower_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-04,45334.605620281065,34612.03794112578,10722.567679155287,1708.6158228151826,4375.36815759635,3930.473265152366,44069.49997234375,34526.852313913776,9542.64765842998,1533.6703085850238,4465.48578990082,4020.590897456836,fixed_raw,fixed_w28,1265.1056479373146,85.18562721200578,1179.920020725307,174.94551423015878,1265.1056479373146,13901.301682772635,13963.44477436307,corrected_lower_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-05,45761.36645605723,36340.23402796735,9421.132428089879,1448.1386658470824,3930.473265152366,3357.9014069984964,44044.66633109018,35763.21077757582,8281.455553514363,1279.159961039385,4020.590897456836,3448.0190393029666,fixed_raw,fixed_w28,1716.7001249670502,577.0232503915322,1139.6768745755162,168.97870480769734,1716.7001249670502,15618.001807739685,15680.14489933012,corrected_lower_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-06,46007.98577205816,35798.531452740164,10209.454319317989,1735.398281616098,3357.9014069984964,2677.741745190155,44957.38572413932,35896.627032073724,9060.758692065594,1573.927548893572,3448.0190393029666,2767.859377494625,fixed_raw,fixed_w28,1050.600047918837,-98.09557933355973,1148.6956272523948,161.470732722526,1050.6000479188367,16668.601855658522,16730.744947248957,corrected_lower_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-07,46632.14023909803,36817.01355683441,9815.126682263613,1578.69181663213,2677.741745190155,2258.651758468121,45569.15531656957,37005.9665737144,8563.18874285517,1393.068280505146,2767.859377494625,2361.022009903286,fixed_raw,fixed_w28,1062.984922528456,-188.95301687999017,1251.9379394084426,185.62353612698394,1071.434052997053,17731.58677818698,17802.17900024601,corrected_lower_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-08,38151.37414341711,37908.14521079211,243.22893262499974,35.99924999999996,2258.651758468121,2525.6616365108525,38261.132260706865,38017.90332808187,243.22893262499974,35.99924999999996,2361.022009903286,2822.3243996349006,fixed_raw,fixed_w28,-109.75811728975532,-109.7581172897626,0.0,0.0,24.221627189385572,17621.828660897223,17826.400627435396,corrected_higher_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-09,16116.14207647781,15532.138419817122,584.0036566606879,101.82684339616452,2525.6616365108525,2911.5412851407664,15768.663310481521,15768.663310481521,0.0,0.0,2822.3243996349006,3283.675655955847,fixed_raw,fixed_w28,347.47876599628944,-236.5248906643992,584.0036566606879,101.82684339616452,399.52228854885254,17969.307426893512,18225.922915984247,corrected_lower_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-10,14786.289679787686,14786.289679787686,0.0,0.0,2911.5412851407664,2894.814496481776,15257.054670202122,15257.054670202122,0.0,0.0,3283.675655955847,3489.356610793332,fixed_raw,fixed_w28,-470.7649904144364,-470.7649904144364,0.0,0.0,-317.3976146734958,17498.542436479074,17908.52530131075,corrected_higher_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-11,39411.114802439195,37822.985822834424,1588.1289796047665,228.58259610637901,2894.814496481776,3316.598960510114,37838.08344394898,37560.72240449064,277.3610394583323,41.18071666666651,3489.356610793332,3922.21594055099,fixed_raw,fixed_w28,1573.0313584902178,262.263418343784,1310.7679401464343,187.4018794397125,1580.6683367126782,19071.573794969292,19489.19363802343,corrected_lower_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-12,36892.343270324855,36892.343270324855,0.0,0.0,3316.598960510114,3781.8974834257715,37121.01772300195,37121.01772300195,0.0,0.0,3922.21594055099,4579.6659546031,fixed_raw,fixed_w28,-228.67445267709263,-228.67445267709263,0.0,0.0,-96.17110779794587,18842.8993422922,19393.022530225484,corrected_higher_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-13,37056.52218552371,37056.52218552371,0.0,0.0,3781.8974834257715,4207.3822484509055,37617.877773150765,37617.877773150765,0.0,0.0,4579.6659546031,4970.058751368168,fixed_raw,fixed_w28,-561.3555876270548,-561.3555876270548,0.0,0.0,-585.5542193699105,18281.543754665145,18807.468310855573,corrected_higher_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-14,37234.383893176455,37234.383893176455,0.0,0.0,4207.3822484509055,4548.806678748976,36984.94356360433,36984.94356360433,0.0,0.0,4970.058751368168,5493.297947702218,fixed_raw,fixed_w28,249.44032957212767,249.44032957212767,0.0,0.0,374.8157013983037,18530.984084237272,19182.284012253876,corrected_lower_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-15,37497.64596695215,37497.64596695215,0.0,0.0,4548.806678748976,5290.243786307727,37265.499724839196,37265.499724839196,0.0,0.0,5493.297947702218,6431.560123983657,fixed_raw,fixed_w28,232.1462421129545,232.1462421129545,0.0,0.0,367.87238094007404,18763.130326350227,19550.15639319395,corrected_lower_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-16,14998.308270171734,14241.622059733383,756.6862104383515,164.60550857549902,5290.243786307727,4674.581246925214,14498.853726331214,14442.812744302211,56.04098202900239,11.964342875534243,6431.560123983657,5893.054474242137,fixed_raw,fixed_w28,499.4545438405203,-201.19068456882815,700.6452284093491,152.64116569996477,552.6601989069319,19262.584870190745,20102.81659210088,corrected_lower_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-17,17352.590876922437,15137.830872657807,2214.7600042646304,319.7323950871265,4674.581246925214,4782.985145485423,16388.049879010327,15353.345160899125,1034.7047181112002,148.32349743566516,5893.054474242137,6026.158544578283,fixed_raw,fixed_w28,964.5409979121105,-215.51428824131835,1180.0552861534302,171.40889765146136,981.5736806149315,20227.125868102856,21084.390272715813,corrected_lower_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-18,36603.94338369066,36577.84338972771,26.099993962948663,3.869818958106407,4782.985145485423,5741.302503704985,37073.9683163611,37047.86832239815,26.099993962948663,3.869818958106407,6026.158544578283,6872.265267503736,fixed_raw,fixed_w28,-470.0249326704361,-470.0249326704434,0.0,0.0,-547.402862029959,19757.10093543242,20536.987410685855,corrected_higher_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-19,34543.00363659414,33905.63671039592,637.3669261982225,93.87806727970076,5741.302503704985,5715.234879608112,35049.54494259366,34597.640960927,451.90398166666665,67.00333333333333,6872.265267503736,6918.987581703587,fixed_raw,fixed_w28,-506.54130599951895,-692.0042505310776,185.46294453155582,26.874733946367428,-456.3470023237101,19250.5596294329,20080.640408362146,corrected_higher_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-20,37925.08385913428,36293.83526524841,1631.2485938858722,236.19740667806911,5715.234879608112,5643.261380913371,36631.07648390962,36367.92301112449,263.1534727851336,40.082853767986194,6918.987581703587,6852.623303981945,fixed_raw,fixed_w28,1294.0073752246608,-74.08774587608059,1368.0951211007387,196.11455291008292,1297.8753678002383,20544.56700465756,21378.515776162385,corrected_lower_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-21,36769.282041873295,36694.05172503205,75.23031684124393,16.59248276163298,5643.261380913371,5616.985045107493,36432.01709116113,36432.01709116113,0.0,0.0,6852.623303981945,6946.715451479525,fixed_raw,fixed_w28,337.2649507121678,262.0346338709205,75.23031684124393,16.59248276163298,420.26834850735787,20881.83195536973,21798.784124669743,corrected_lower_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-22,36685.01310380835,34464.564870730865,2220.4482330774813,318.3834845294555,5616.985045107493,6088.477543601102,35142.20666057747,34225.90030542253,916.3063551549327,131.4365410199158,6946.715451479525,7396.383430831436,fixed_raw,fixed_w28,1542.806443230882,238.66456530833239,1304.1418779225487,186.94694350953966,1527.7567458824476,22424.63839860061,23326.54087055219,corrected_lower_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-23,16342.950260127076,15305.99352939527,1036.956730731805,177.5711034383088,6088.477543601102,6345.111521640215,15785.416636419453,15785.416636419453,0.0,0.0,7396.383430831436,7617.14875712195,fixed_raw,fixed_w28,557.5336237076226,-479.423107024184,1036.956730731805,177.5711034383088,532.7994085064535,22982.172022308234,23859.340279058644,corrected_lower_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-24,14392.749664450092,14392.749664450092,0.0,0.0,6345.111521640215,6509.857663749236,14632.92209253036,14632.92209253036,0.0,0.0,7617.14875712195,8015.835515791863,fixed_raw,fixed_w28,-240.17242808026822,-240.17242808026822,0.0,0.0,-78.85224256374997,22741.999594227964,23780.488036494895,corrected_higher_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-25,35817.3021386817,35220.64917880105,596.6529598806444,116.39302885196972,6509.857663749236,6860.03882016222,35536.50786949999,35536.50786949999,0.0,0.0,8015.835515791863,8390.2584915253,fixed_raw,fixed_w28,280.79426918170793,-315.8586906989367,596.6529598806444,116.39302885196972,297.510882344157,23022.79386340967,24077.998918839054,corrected_lower_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-26,37783.78979582581,37783.78979582581,0.0,0.0,6860.03882016222,7018.888008477991,38169.724440702754,38169.724440702754,0.0,0.0,8390.2584915253,8720.988194570877,fixed_raw,fixed_w28,-385.9346448769429,-385.9346448769429,0.0,0.0,-267.40970923084996,22636.85921853273,23810.589209608203,corrected_higher_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-27,35396.81644949822,35019.81125486296,377.00519463526007,71.92679276819229,7018.888008477991,7242.644047631777,36596.190612799815,35207.077044707985,1389.113568091826,261.261218004761,8720.988194570877,8922.118318506751,fixed_raw,fixed_w28,-1199.3741633015961,-187.26578984502703,-1012.1083734565659,-189.33442523656873,-1214.9764853527752,21437.485055231133,22595.61272425543,corrected_higher_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-28,35583.868187833104,35583.868187833104,0.0,0.0,7242.644047631777,7663.853386930961,35843.934686598,35843.934686598,0.0,0.0,8922.118318506751,9435.4432958069,fixed_raw,fixed_w28,-260.06649876489246,-260.06649876489246,0.0,0.0,-196.54562740128313,21177.41855646624,22399.067096854145,corrected_higher_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-29,40366.74767729908,38885.22334496928,1481.5243323297982,242.24822504709053,7663.853386930961,7741.937666376683,38654.96577628855,38350.97601656742,303.98975972112896,62.19471475750838,9435.4432958069,9454.636712494774,fixed_raw,fixed_w28,1711.7819010105304,534.2473284018561,1177.5345726086694,180.05351028958216,1671.1720870971308,22889.20045747677,24070.239183951275,corrected_lower_cost,2025-05,True
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05-30,14775.72245980378,14775.72245980378,0.0,0.0,7741.937666376683,7803.509302546635,14977.464225725249,14977.464225725249,0.0,0.0,9454.636712494774,9744.565028682444,fixed_raw,fixed_w28,-201.74176592146978,-201.74176592146978,0.0,0.0,-44.272137406551394,22687.4586915553,24025.967046544723,corrected_higher_cost,2025-05,True
