month,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,grid_plan_kwh,unused_grid_kwh,policy
2025-10,1127198.3258413102,16786.334630987672,1143984.6604722978,2746.118387941332,1830501.7373305766,83390.0585163671,X_strong_morning85
2025-11,1267569.4932727092,1279.160576003652,1268848.6538487128,266.0013075502641,2034832.3813382194,82129.31567461774,X_strong_morning85
2025-12,1686636.8483584148,77449.81811627535,1764086.6664746902,14686.08079205268,2670650.635640997,179783.06506484176,X_strong_morning85
2025-02,1178867.9747571459,4648.386240581192,1183516.3609977271,907.81209015112,1926911.681910431,71962.24078257507,D56
2025-03,1069907.4502647463,62701.08664635762,1132608.536911104,10628.724429183434,1792403.8350786925,44641.06209958357,D56
2025-04,899865.0335291456,58071.3333073176,957936.3668364632,9169.7870635767,1541861.660733007,36446.462601392595,D56
2025-05,916463.1885797839,61605.954360096155,978069.14293988,11489.611467136969,1494199.1113749763,24834.30908052595,D56
2025-06,1300762.2141518514,267058.97157359147,1567821.1857254428,45436.3686117155,2043429.5688974292,174616.55588983584,D56
2025-07,1512819.796015498,35736.05744119706,1548555.853456695,7283.392625296524,2331144.65510698,183736.6110832745,D56
2025-08,1244603.0092611446,29147.145736167153,1273750.1549973118,4760.899350072105,1939776.1002653479,47286.92598978639,D56
2025-09,1050740.3884005616,128456.95838054891,1179197.3467811106,22807.982144104117,1678873.7472323156,48792.57824869776,D56
2025-10,1099905.288139023,8701.081961882483,1108606.3701009054,1362.249192269121,1784393.2648670776,49143.01906573247,D56
2025-11,1249779.8460740524,862.4467206258115,1250642.2927946781,179.6002988511636,1991421.5083793073,46977.29944721964,D56
2025-12,1669185.4541454166,112075.56561263399,1781261.0197580506,21134.300167154797,2649792.4217642266,168126.79629490033,D56
2025-02,1177123.4029300332,6695.238425467551,1183818.6413555008,1387.5071922818174,1925146.6333744074,70755.49619635168,D28
2025-03,1078077.1641343446,59969.20858164303,1138046.3727159875,9762.541372224716,1803249.0457183134,51621.90004734866,D28
2025-04,900027.9733721366,55473.152539207986,955501.1259113445,8816.987341606935,1541358.6250378303,36799.65413519429,D28
2025-05,924700.4288474808,49320.20723941133,974020.6360868921,9278.446507581719,1492862.2330375784,25994.360570435376,D28
2025-06,1338247.9824731897,225354.27636379068,1563602.2588369804,37858.55291099516,2090953.0792713263,205688.19199892122,D28
2025-07,1463390.353519434,67381.99172298473,1530772.3452424188,12365.38972964872,2256674.6798903155,119018.75443596805,D28
2025-08,1204416.4879068872,92769.3834846022,1297185.8713914894,15434.665484635278,1906713.7102999133,33895.06361137213,D28
2025-09,1075384.490046188,89276.52974176889,1164661.019787957,15651.036700052875,1721214.0632981805,66001.37072295618,D28
2025-10,1100557.234154437,18193.72351226528,1118750.957666702,2829.883981518209,1791334.4487519606,57057.840572320405,D28
2025-11,1240297.3903274073,8948.518996869476,1249245.9093242767,1599.678576216456,1993307.529719145,48199.59170689798,D28
2025-12,1690509.3690828655,94141.37144612162,1784650.7405289873,17674.68922662194,2692038.558250177,203360.80194113683,D28
2025-02,1178880.3548064958,4651.185560733606,1183531.5403672294,908.2913027082395,1926934.3707233341,71955.38607438552,D112
2025-03,1070334.71264496,61928.11356753893,1132262.8262124988,10462.926914701884,1791692.66100407,44807.53499394212,D112
2025-04,889561.8558193289,71938.49293267721,961500.3487520062,11347.709479414496,1521278.0835298714,28048.521637653117,D112
2025-05,898726.2408768331,90095.69045676042,988821.9313335936,16260.006456100333,1494474.0021197193,26949.190753387786,D112
2025-06,1210104.4387932853,328580.3288286025,1538684.7676218878,55900.78967606193,1929938.9097920486,78514.80602241193,D112
2025-07,1437822.5173005725,112455.91928368506,1550278.4365842575,21659.87405330349,2232066.9535897058,107337.94629950513,D112
2025-08,1284292.3322220254,3501.5145809389014,1287793.846802964,753.8615026635609,1998484.5551994706,85363.88222976841,D112
2025-09,1088364.599722642,49635.04936057042,1137999.6490832125,8373.833284226705,1730420.6448601037,69575.36243611055,D112
2025-10,1097177.3651371528,13175.718162613284,1110353.083299766,2128.4209998629008,1770106.9649394883,38974.93600181572,D112
2025-11,1250836.0574614187,2360.4400457393504,1253196.497507158,482.31623024409816,1991192.6736803753,47250.316495463914,D112
2025-12,1669136.5532546565,100333.00104895327,1769469.5543036098,19129.69995466371,2612760.518852311,134701.6611142457,D112
2025-02,1180362.8523837135,4179.219292267364,1184542.071675981,805.543498294364,1926839.4105946433,72031.08788900936,D56_risk625
2025-03,1072020.370636411,59534.99872299831,1131555.3693594094,10013.612103537373,1794790.8794073886,45460.4371941479,D56_risk625
2025-04,905797.8762627201,46772.071013325854,952569.9472760459,7481.213831439416,1550314.3890180492,39971.70411668026,D56_risk625
2025-05,924484.1642666758,51426.58720485481,975910.7514715305,9662.338633506984,1499920.9607250968,27970.954503094254,D56_risk625
2025-06,1315669.4863975581,220806.82541095477,1536476.3118085128,37844.33927190017,2061829.4757436335,185512.851810625,D56_risk625
2025-07,1528396.6202565886,26122.68442849759,1554519.3046850862,5129.507319281168,2348857.361070191,197967.56606748205,D56_risk625
2025-08,1271031.1183458138,19775.43349550767,1290806.5518413214,3038.7606253929994,1960293.760645409,61171.09666163435,D56_risk625
2025-09,1059974.869045332,108332.33621286144,1168307.2052581937,19222.932243874366,1692115.0875141623,52329.37492220827,D56_risk625
2025-10,1106976.9201203454,6319.451488125075,1113296.3716084706,999.7411648265099,1795455.9950169248,55291.945615222176,D56_risk625
2025-11,1254778.6661216342,235.97786672446796,1255014.6439883586,48.627153239320265,1995117.835923476,50361.35161928075,D56_risk625
2025-12,1686398.7911246642,95033.42401512677,1781432.215139791,18207.30973683845,2670633.48856118,187138.32190498797,D56_risk625
2025-02,1184787.5371668409,5155.990271572201,1189943.5274384131,924.9355266014423,1943669.5935832344,74885.08384048204,D56_mu069
2025-03,1073940.6326286825,61452.39011680169,1135393.0227454843,10246.308153146354,1805129.7766403656,46017.71012008331,D56_mu069
2025-04,904369.4124097747,57779.52341828728,962148.935828062,9085.690866172035,1555755.4896838828,37736.041393008054,D56_mu069
2025-05,927494.1237776675,54994.96215294248,982489.08593061,9348.923594038075,1519506.4156769826,34522.13719366222,D56_mu069
2025-06,1310692.8593021347,258997.57297010484,1569690.4322722396,42471.05142482634,2064137.1483790993,186426.7774398573,D56_mu069
2025-07,1519870.8113906614,31053.317426362468,1550924.1288170237,5660.266026784845,2347598.604191864,192832.05699440473,D56_mu069
2025-08,1264732.3005171872,23797.5645659444,1288529.8650831317,3657.847183848227,1974212.911839543,66013.39270302349,D56_mu069
2025-09,1064933.9750561202,121856.36186438847,1186790.3369205086,20876.533421656535,1716222.493951148,74585.0568512352,D56_mu069
2025-10,1111400.2224439457,9830.112131721668,1121230.3345756675,1546.3351717284631,1815748.3301954414,72191.98710386115,D56_mu069
2025-11,1257525.8924994394,291.7740974220475,1257817.6665968616,60.31345142710527,2010185.0530105797,58055.60218435611,D56_mu069
2025-12,1674497.6073162737,109006.30499583975,1783503.9123121134,20666.47016316279,2663590.742776443,179915.07597336342,D56_mu069
2025-02,1178536.6805985954,8628.761988375545,1187165.442586971,2576.4453859260825,1928137.2064364497,73876.55239805618,D56_mu0
2025-03,1069417.4557224542,65355.30486137538,1134772.7605838296,11904.04124389812,1792244.1790325989,44930.44257067126,D56_mu0
2025-04,899362.9909367175,61772.548475659176,961135.5394123766,10762.46497103496,1541575.520721047,36713.396942473795,D56_mu0
2025-05,907799.5607767907,83210.07504596854,991009.6358227594,17217.065475252217,1506156.9354898427,37049.6922164119,D56_mu0
2025-06,1295185.1556000237,289318.3535499272,1584503.509149951,53046.42033060384,2050625.9280403198,189803.74074229292,D56_mu0
2025-07,1503643.0075210384,95675.18314633705,1599318.1906673755,20878.701839827918,2337597.0760841733,201063.11199712363,D56_mu0
2025-08,1229632.468553213,49656.23305665993,1279288.7016098727,9868.233849143584,1944985.0133762853,52595.28462599389,D56_mu0
2025-09,1046964.5367788328,142260.08789377887,1189224.6246726117,27870.106858411225,1677902.385906095,50972.43113697702,D56_mu0
2025-10,1100313.4856389205,10276.397599261569,1110589.8832381822,1804.3572300415522,1789583.9614005603,53033.05094683436,D56_mu0
2025-11,1251352.2834208398,896.4251608709541,1252248.7085817107,186.68800019558213,1999239.8888850156,52501.22345756052,D56_mu0
2025-12,1669915.90783455,112990.94473378758,1782906.8525683375,21499.844711148,2658346.7857663366,175498.64078061323,D56_mu0
2025-02,1179126.9270051855,4730.203002604691,1183857.1300077904,908.4573627482399,1926766.0620562283,71952.7111012253,D112_refined
2025-03,1070478.5415908014,61993.078008381315,1132471.6195991829,10473.799181567494,1791714.0157479278,44840.540533654406,D112_refined
2025-04,889540.6100842882,71969.24331875656,961509.8534030447,11335.253895350406,1521190.7711277057,28921.970161111156,D112_refined
2025-05,898750.7760814222,90283.34568096959,989034.1217623919,16264.553473678321,1494791.2660934606,27116.5044160426,D112_refined
2025-06,1210841.6711599422,327986.4714617827,1538828.1426217249,55630.85892279464,1932317.7157512219,78479.29234097662,D112_refined
2025-07,1437875.509928932,112254.73795210596,1550130.2478810379,21639.64851578264,2232047.0716130733,106975.32092326388,D112_refined
2025-08,1284001.0113557575,3644.67774273637,1287645.689098494,781.9074096914841,1998109.645168855,85025.44967489637,D112_refined
2025-09,1088569.0430329484,50379.025198716416,1138948.0682316648,8487.93579142269,1730780.631025598,69726.48288382699,D112_refined
2025-10,1096984.4525078125,13229.882454463304,1110214.3349622758,2139.2513531900668,1770009.9646169604,39014.15368282047,D112_refined
2025-11,1250837.333297163,2360.1903757529044,1253197.523672916,482.2661811338554,1991203.2557439816,47099.13967223575,D112_refined
2025-12,1668945.4514470226,100285.19607423422,1769230.647521257,19122.1567619268,2612489.2621210995,134473.28232328713,D112_refined
2025-02,1180565.8768010244,4132.774982884812,1184698.6517839094,807.6430865512366,1926807.4150152358,72314.6251240418,D56_risk625_refined
2025-03,1072074.6652746203,59418.64650964252,1131493.311784263,9997.25418604962,1794786.0691889692,45486.03636227736,D56_risk625_refined
2025-04,905857.3277788869,46748.37159019804,952605.699369085,7476.483206226396,1549970.6138506616,39834.81121139717,D56_risk625_refined
2025-05,924473.4389002648,54607.25798786805,979080.6968881328,10257.337621905863,1500035.8511641882,28793.666534282987,D56_risk625_refined
2025-06,1315214.7753823916,223212.0730150871,1538426.848397479,38273.301025577886,2061741.2313587414,186165.8859501096,D56_risk625_refined
2025-07,1528245.2409399503,26154.195061557948,1554399.4360015083,5130.79675258132,2348856.739140093,197905.76852086082,D56_risk625_refined
2025-08,1270943.0889082288,19529.09560740474,1290472.1845156334,3009.9862019330453,1960157.4218456168,60477.00685908111,D56_risk625_refined
2025-09,1059942.5510342529,108319.40951442154,1168261.9605486742,19238.351472621154,1692360.9225598923,52706.46619995906,D56_risk625_refined
2025-10,1106901.6354352217,6203.490574324969,1113105.1260095467,983.9123177126442,1795329.2369060933,55318.84396581965,D56_risk625_refined
2025-11,1254761.2685819396,235.9778670353452,1254997.246448975,48.62715330443227,1994955.7067779268,50465.34826297433,D56_risk625_refined
2025-12,1686443.1190252195,95111.47043196077,1781554.5894571801,18209.990412164934,2670066.437722554,186575.45195213004,D56_risk625_refined
