candidate,reference,date,saving_yuan
q3_soc,q3_no_update,2025-08-14,0.35598250274779275
q3_soc,q3_no_update,2025-08-15,-1.1668368341961468
q3_soc,q3_no_update,2025-08-16,-1.2348634752997896
q3_soc,q3_no_update,2025-08-17,486.098923957019
q3_soc,q3_no_update,2025-08-18,273.30649513346725
q3_soc,q3_no_update,2025-08-19,0.8208430458544171
q3_soc,q3_no_update,2025-08-20,-1.9473393174412195
q3_soc,q3_no_update,2025-08-21,624.9846917083996
q3_soc,q3_no_update,2025-08-22,-11.713119958541938
q3_soc,q3_no_update,2025-08-23,-5.574593484907382
q3_soc,q3_no_update,2025-08-24,-0.4502616599056637
q3_soc,q3_no_update,2025-08-25,753.192704410867
q3_soc,q3_no_update,2025-08-26,26.374630608399457
q3_soc,q3_no_update,2025-08-27,180.0176592024509
q3_soc,q3_no_update,2025-08-28,4550.334779477758
q3_soc,q3_no_update,2025-08-29,-4.968503411622805
q3_soc,q3_no_update,2025-08-30,-8.937166313811758
q3_soc,q3_no_update,2025-08-31,33.11621655700583
q3_soc,q3_no_update,2025-09-01,691.2234242898994
q3_soc,q3_no_update,2025-09-02,323.9500220034024
q3_soc,q3_no_update,2025-09-03,560.5453622555797
q3_soc,q3_no_update,2025-09-04,364.98282154331537
q3_soc,q3_no_update,2025-09-05,-4.297590721911547
q3_soc,q3_no_update,2025-09-06,-12.09813378097897
q3_soc,q3_no_update,2025-09-07,1.1332640702239587
q3_soc,q3_no_update,2025-09-08,-547.2674144585471
q3_soc,q3_no_update,2025-09-09,1791.9649341185432
q3_soc,q3_no_update,2025-09-10,4.767266678587475
q3_soc,q3_no_update,2025-09-11,28.168713873266825
q3_soc,q3_no_update,2025-09-12,2694.0873831116915
q3_soc,q3_no_update,2025-09-13,7.681952770020871
q3_soc,q3_no_update,2025-09-14,503.1262609940459
q3_soc,q3_no_update,2025-09-15,7.366283178242156
q3_soc,q3_no_update,2025-09-16,298.52691169982427
q3_soc,q3_no_update,2025-09-17,89.07353902278555
q3_soc,q3_no_update,2025-09-18,2294.787067871679
q3_soc,q3_no_update,2025-09-19,1925.0463981099383
q3_soc,q3_no_update,2025-09-20,-0.27972707359003834
q3_soc,q3_no_update,2025-09-21,305.8716029268762
q3_soc,q3_no_update,2025-09-22,74.9392727734812
q3_soc,q3_no_update,2025-09-23,-3.9726100130283157
q3_soc,q3_no_update,2025-09-24,7568.379634180143
q3_soc,q3_no_update,2025-09-25,459.02990957051225
