policy,date,expected_emergency_yuan,actual_emergency_yuan,emergency_prediction_error_yuan,selected_proxy_score_yuan,actual_cost_yuan
P_B1,2025-06-27,2587.9124637993236,0.0,-2587.9124637993236,25089.529186866635,22463.785413147336
P_B1,2025-06-28,2617.70831877651,0.0,-2617.70831877651,25421.609033745488,22766.069405049
P_B1,2025-06-29,3859.335949097285,0.0,-3859.335949097285,56878.45068525519,52981.52406188681
P_B1,2025-06-30,3279.60915967662,163.64363487333253,-3115.9655248032877,56356.31704759411,53202.30367030468
P_B1,2025-07-01,3140.8191731979778,7999.9768191516005,4859.157645953623,56767.20152578689,61587.92063723327
P_B1,2025-07-02,3268.6778379428442,15723.774245887247,12455.096407944402,51043.636125586345,63650.32024298633
P_B1,2025-07-03,2979.9370214468167,66021.23556646692,63041.2985450201,47306.0019943364,110641.98542392954
P_B1,2025-07-04,3457.675323580154,24866.159644674684,21408.48432109453,23514.776107338694,45342.950484717214
P_B1,2025-07-05,3551.540292012024,28869.90898441586,25318.368692403834,23443.532251775243,49203.124163669156
P_B1,2025-07-06,4792.0991104546965,54916.47574334257,50124.37663288787,50377.87878373445,100876.78479631734
P_B1,2025-07-07,4992.571990050557,6608.452134551672,1615.880144501115,55586.75513868165,57715.79423815412
P_B1,2025-07-08,4695.422075823621,8.792736916666057,-4686.629338906954,61782.349688229995,57718.84491452201
P_B1,2025-07-09,4618.964483997786,0.0,-4618.964483997786,63997.030665269645,59927.75964896197
P_B1,2025-07-10,4893.4529951758595,0.0,-4893.4529951758595,63912.98166944466,59093.87340078475
P_B1,2025-07-11,3466.8197676014506,0.0,-3466.8197676014506,34238.13780978399,30738.705776957002
P_B1,2025-07-12,4369.26569938761,0.0,-4369.26569938761,35202.51667420278,30800.638709589635
P_B1,2025-07-13,4568.091092309943,0.0,-4568.091092309943,65550.98640044223,60950.66584953181
P_B1,2025-07-14,4919.926264063198,0.0,-4919.926264063198,61321.792970116396,56369.637247452745
P_B1,2025-07-15,4815.596574422286,0.0,-4815.596574422286,61837.654623142516,56989.82859011978
P_B1,2025-07-16,4811.782018418095,0.0,-4811.782018418095,62717.4818490099,57873.47037199135
P_B1,2025-07-17,4737.519757717198,0.0,-4737.519757717198,61919.303165274396,57149.791517143036
P_B1,2025-07-18,3179.8887356011714,0.0,-3179.8887356011714,33947.5227995843,30735.681787765003
P_B1,2025-07-19,4342.463697645891,0.0,-4342.463697645891,35038.43326410306,30664.01729023904
P_B1,2025-07-20,4551.340625484673,0.0,-4551.340625484673,62599.89901085306,58016.60610915026
