candidate,reference,month,saving_yuan
q43_w28_fixed_greedy,q43_raw_fixed_greedy,2025-12,-4299.884319365407
q3_soc_reserve,q3_no_update_reserve,2025-02,5832.4054113162165
q3_soc_reserve,q3_no_update_reserve,2025-03,27967.032245277565
q3_soc_reserve,q3_no_update_reserve,2025-04,15344.382924737058
q3_soc_reserve,q3_no_update_reserve,2025-05,12000.572958775281
q3_soc_reserve,q3_no_update_reserve,2025-06,10706.419537220834
q3_soc_reserve,q3_no_update_reserve,2025-07,96810.3476039214
q3_soc_reserve,q3_no_update_reserve,2025-08,2811.682551830163
q3_soc_reserve,q3_no_update_reserve,2025-09,13256.169232366075
q3_soc_reserve,q3_no_update_reserve,2025-10,4430.4779976106165
q3_soc_reserve,q3_no_update_reserve,2025-11,1673.110621163145
q3_soc_reserve,q3_no_update_reserve,2025-12,17282.997227514934
q3_raw_reserve,q3_soc_reserve,2025-02,21027.510801569853
q3_raw_reserve,q3_soc_reserve,2025-03,34479.66193596739
q3_raw_reserve,q3_soc_reserve,2025-04,16593.782469471058
q3_raw_reserve,q3_soc_reserve,2025-05,4850.677871025631
q3_raw_reserve,q3_soc_reserve,2025-06,-7548.899264919513
q3_raw_reserve,q3_soc_reserve,2025-07,12523.354821150253
q3_raw_reserve,q3_soc_reserve,2025-08,19592.21563279752
q3_raw_reserve,q3_soc_reserve,2025-09,20817.7579614334
q3_raw_reserve,q3_soc_reserve,2025-10,25213.154541254895
q3_raw_reserve,q3_soc_reserve,2025-11,6001.811394928554
q3_raw_reserve,q3_soc_reserve,2025-12,13570.901370791973
q3_w28_reserve,q3_raw_reserve,2025-02,0.0
q3_w28_reserve,q3_raw_reserve,2025-03,0.0
q3_w28_reserve,q3_raw_reserve,2025-04,-3916.320824798817
q3_w28_reserve,q3_raw_reserve,2025-05,154.53383546495206
q3_w28_reserve,q3_raw_reserve,2025-06,5687.829573122319
q3_w28_reserve,q3_raw_reserve,2025-07,1296.6199602864835
q3_w28_reserve,q3_raw_reserve,2025-08,3510.7549735758585
